2026-09-08 10:46:03 | INFO | movieclaw_db.engine | 数据库引擎已初始化：sqlite+aiosqlite:////tmp/claude-0/-home-user-movieclaw/e4fcf387-7ac0-5af1-9f57-b3315b751760/scratchpad/e2e.db
2026-09-08 10:46:03 | INFO | movieclaw_db.migrations | 开始执行数据库迁移（upgrade head）……
2026-09-08 10:46:03 | INFO | movieclaw_db.crypto | 从密钥文件加载加密密钥（方案 B）：/tmp/claude-0/-home-user-movieclaw/e4fcf387-7ac0-5af1-9f57-b3315b751760/scratchpad/.secret_key
2026-09-08 10:46:03 | INFO | movieclaw_net.egress | 网络出口配置已生效：模式=env，走代理的服务=['github', 'image', 'tmdb']
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: agsvpt (AGSVPT)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: audiences (观众)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: chdbits (彩虹岛)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: hdarea (高清视界 HDArea)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: hddolby (高清杜比 HDDolby)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: hdfans (HDFans)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: hdhome (高清家园)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: hdsky (HDSky)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: hdtime (HDTime)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: hdvideo (HDVIDEO)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: hhanclub (憨憨)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: keepfrds (朋友)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: agsvpt (AGSVPT)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: audiences (观众)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: chdbits (彩虹岛)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: hdarea (高清视界 HDArea)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: hddolby (高清杜比 HDDolby)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: hdfans (HDFans)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: hdhome (高清家园)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: hdsky (HDSky)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: hdtime (HDTime)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: hdvideo (HDVIDEO)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: hhanclub (憨憨)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: keepfrds (朋友)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: mteam (M-Team)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: nicept (NicePT)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: ourbits (OurBits)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: piggo (猪猪网 Piggo)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: pter (猫站)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: pthome (铂金家)
2026-09-08 10:46:03 | INFO | movieclaw_tracker.registry | Registered site: pttime (PTTime)
